Author,Latitude,Longitude,Biome,Ecosystem_type,Ecosystem_state,Rs_annual,Rh_annual,Rs_growingseason,Year,SPEI12,SPEI24,SPEI12_y1,SPEI24_y1,Tair,Tsoil_lev1,Tsoil_lev2,VWC_lev1,VWC_lev2,Precip,LAI_high,LAI_low,Soil_type_number,Soil_type_name,Veg_type_hi,Veg_type_low,MODIS_NPP,MODIS_GPP
Ruehr,47.478,8.364,Temperate,Forest,Unmanaged,1290,NA,NA,2007,0.17,0.189,0.113,-0.391,9.9,9.65,9.67,0.374,0.376,39.54,3.05,3.17,2,Loamy sand,19,1,888.7,1582.4
Ruehr,47.478,8.364,Temperate,Forest,Unmanaged,865,NA,NA,2007,0.17,0.189,0.113,-0.391,9.9,9.65,9.67,0.374,0.376,39.54,3.05,3.17,2,Loamy sand,19,1,888.7,1582.4
Ruehr,47.478,8.364,Temperate,Forest,Unmanaged,751,NA,NA,2007,0.17,0.189,0.113,-0.391,9.9,9.65,9.67,0.374,0.376,39.54,3.05,3.17,2,Loamy sand,19,1,888.7,1582.4
Ruehr,47.478,8.364,Temperate,Forest,Unmanaged,973,NA,NA,2007,0.17,0.189,0.113,-0.391,9.9,9.65,9.67,0.374,0.376,39.54,3.05,3.17,2,Loamy sand,19,1,888.7,1582.4
Ruehr,47.478,8.364,Temperate,Forest,Unmanaged,796,NA,NA,2007,0.17,0.189,0.113,-0.391,9.9,9.65,9.67,0.374,0.376,39.54,3.05,3.17,2,Loamy sand,19,1,888.7,1582.4
Ruehr,47.478,8.364,Temperate,Forest,Unmanaged,826,NA,NA,2007,0.17,0.189,0.113,-0.391,9.9,9.65,9.67,0.374,0.376,39.54,3.05,3.17,2,Loamy sand,19,1,888.7,1582.4
Vargas,33.808,-116.778,Temperate,Forest,Natural,1171,NA,NA,2006,-0.15,1.029,1.448,1.156,14.16,14.24,14.23,0.171,0.199,10.97,3.53,1.99,2,Loamy sand,3,16,546.8,1018
Vargas,33.808,-116.778,Temperate,Forest,Natural,763,NA,NA,2006,-0.15,1.029,1.448,1.156,14.16,14.24,14.23,0.171,0.199,10.97,3.53,1.99,2,Loamy sand,3,16,546.8,1018
Vargas,33.808,-116.778,Temperate,Grassland,Natural,524,NA,NA,2006,-0.15,1.029,1.448,1.156,14.16,14.24,14.23,0.171,0.199,10.97,3.53,1.99,2,Loamy sand,3,16,546.8,1018
Vargas,33.808,-116.778,Temperate,Forest,Natural,1090,NA,NA,2007,-1.736,-1.346,-0.15,1.029,14.34,14.49,14.43,0.157,0.176,8.25,3.53,1.99,2,Loamy sand,3,16,501,930.3
Vargas,33.808,-116.778,Temperate,Forest,Natural,831,NA,NA,2007,-1.736,-1.346,-0.15,1.029,14.34,14.49,14.43,0.157,0.176,8.25,3.53,1.99,2,Loamy sand,3,16,501,930.3
Vargas,33.808,-116.778,Temperate,Grassland,Natural,555,NA,NA,2007,-1.736,-1.346,-0.15,1.029,14.34,14.49,14.43,0.157,0.176,8.25,3.53,1.99,2,Loamy sand,3,16,501,930.3
Dore,35.089,-111.762,Temperate,Forest,Natural,545,348,NA,2006,-0.767,0.678,1.38,1.027,10.69,10.39,10.37,0.28,0.286,18.51,2.17,2.37,3,Sandy loam,3,16,478.4,765.3
Dore,35.089,-111.762,Temperate,Forest,Natural,633,430,NA,2007,-0.115,-0.584,-0.767,0.678,10.99,10.97,10.88,0.285,0.297,18.71,2.17,2.37,3,Sandy loam,3,16,451.2,746.9
Dore,35.143,-111.727,Temperate,Forest,Managed,477,364,NA,2006,-0.155,0.896,1.389,0.85,10.44,10.14,10.11,0.286,0.293,19.24,2.13,2.95,2,Loamy sand,3,16,480.5,772.7
Dore,35.143,-111.727,Temperate,Forest,Managed,666,509,NA,2007,0.257,0.139,-0.155,0.896,10.7,10.76,10.67,0.293,0.304,19.36,2.13,2.95,2,Loamy sand,3,16,399.8,649.3
Dore,35.445,-111.772,Temperate,Forest,Natural,446,299,NA,2006,-0.303,0.832,1.417,0.931,8.16,8.66,8.62,0.251,0.259,17.33,2.46,2.84,2,Loamy sand,3,16,239.7,375.3
Dore,35.445,-111.772,Temperate,Forest,Natural,470,313,NA,2007,0.03,-0.096,-0.303,0.832,8.52,9.47,9.35,0.254,0.265,16.76,2.46,2.84,2,Loamy sand,3,16,265,427.6
Tian,28.108,113.025,Subtropical,Forest,Unmanaged,989,NA,NA,2006,-0.735,-0.695,-0.437,-0.816,18.86,19.6,19.6,0.411,0.41,44.91,1.92,2.62,4,Silt loam,19,1,472.2,919.8
Tian,28.108,113.025,Subtropical,Forest,Unmanaged,529,NA,NA,2006,-0.735,-0.695,-0.437,-0.816,18.86,19.6,19.6,0.411,0.41,44.91,1.92,2.62,4,Silt loam,19,1,472.2,919.8
Ding,35,114.4,Temperate,Agriculture,Managed,NA,NA,2.1483,2006,0.115,0.455,0.646,1.034,15.97,16.95,16.83,0.243,0.238,19.84,0,2.38,2,Loamy sand,0,10,292.1,805
Ding,35,114.4,Temperate,Agriculture,Managed,NA,NA,4.6431,2006,0.115,0.455,0.646,1.034,15.97,16.95,16.83,0.243,0.238,19.84,0,2.38,2,Loamy sand,0,10,292.1,805
Iqbal,31,110.5,Subtropical,Forest,Unmanaged,185,NA,NA,2008,0.21,-0.478,-0.817,-1.298,15.21,15.2,15.19,0.44,0.455,51.12,2.51,2.66,4,Silt loam,19,17,783.6,1264.4
Guner,41.274,41.566,Temperate,Forest,Managed,234,NA,NA,1995,-0.72,-1.688,-1.517,-1.299,8.25,10.43,10.44,0.395,0.398,76.95,4.97,2.67,2,Loamy sand,18,7,NA,NA
Guner,41.274,41.566,Temperate,Forest,Managed,299,NA,NA,1995,-0.72,-1.688,-1.517,-1.299,8.25,10.43,10.44,0.395,0.398,76.95,4.97,2.67,2,Loamy sand,18,7,NA,NA
Guner,41.274,41.566,Temperate,Grassland,Managed,389,NA,NA,1995,-0.72,-1.688,-1.517,-1.299,8.25,10.43,10.44,0.395,0.398,76.95,4.97,2.67,2,Loamy sand,18,7,NA,NA
Guner,41.274,41.566,Temperate,Grassland,Managed,312,NA,NA,1995,-0.72,-1.688,-1.517,-1.299,8.25,10.43,10.44,0.395,0.398,76.95,4.97,2.67,2,Loamy sand,18,7,NA,NA
Chen,44,116,Boreal,Grassland,Natural,95,NA,NA,2001,-0.499,-0.288,0.011,0.477,3.31,6.34,6,0.212,0.196,7.28,0,1.12,2,Loamy sand,0,2,106.8,171.3
Chen,44,116,Boreal,Grassland,Natural,79,NA,NA,2001,-0.499,-0.288,0.011,0.477,3.31,6.34,6,0.212,0.196,7.28,0,1.12,2,Loamy sand,0,2,106.8,171.3
Chen,44,116,Boreal,Grassland,Natural,77,NA,NA,2001,-0.499,-0.288,0.011,0.477,3.31,6.34,6,0.212,0.196,7.28,0,1.12,2,Loamy sand,0,2,106.8,171.3
Chen,44,116,Boreal,Grassland,Natural,66,NA,NA,2001,-0.499,-0.288,0.011,0.477,3.31,6.34,6,0.212,0.196,7.28,0,1.12,2,Loamy sand,0,2,106.8,171.3
Chen,44,116,Boreal,Grassland,Natural,57,NA,NA,2001,-0.499,-0.288,0.011,0.477,3.31,6.34,6,0.212,0.196,7.28,0,1.12,2,Loamy sand,0,2,106.8,171.3
Chen,44,116,Boreal,Grassland,Natural,91,NA,NA,2001,-0.499,-0.288,0.011,0.477,3.31,6.34,6,0.212,0.196,7.28,0,1.12,2,Loamy sand,0,2,106.8,171.3
Chen,44,116,Boreal,Grassland,Natural,58,NA,NA,2001,-0.499,-0.288,0.011,0.477,3.31,6.34,6,0.212,0.196,7.28,0,1.12,2,Loamy sand,0,2,106.8,171.3
Chen,44,116,Boreal,Grassland,Natural,58,NA,NA,2001,-0.499,-0.288,0.011,0.477,3.31,6.34,6,0.212,0.196,7.28,0,1.12,2,Loamy sand,0,2,106.8,171.3
Sullivan,35.089,-111.762,Temperate,Forest,Natural,NA,NA,1.56,2007,-0.115,-0.584,-0.767,0.678,10.99,10.97,10.88,0.285,0.297,18.71,2.17,2.37,3,Sandy loam,3,16,451.2,746.9
Sullivan,35.143,-111.727,Temperate,Forest,Managed,NA,NA,1.77,2007,0.257,0.139,-0.155,0.896,10.7,10.76,10.67,0.293,0.304,19.36,2.13,2.95,2,Loamy sand,3,16,399.8,649.3
Sullivan,35.445,-111.772,Temperate,Forest,Natural,NA,NA,1.06,2007,0.03,-0.096,-0.303,0.832,8.52,9.47,9.35,0.254,0.265,16.76,2.46,2.84,2,Loamy sand,3,16,265,427.6
Sullivan,35.089,-111.762,Temperate,Forest,Natural,NA,NA,3.62,2007,-0.115,-0.584,-0.767,0.678,10.99,10.97,10.88,0.285,0.297,18.71,2.17,2.37,3,Sandy loam,3,16,451.2,746.9
Sullivan,35.143,-111.727,Temperate,Forest,Managed,NA,NA,2.86,2007,0.257,0.139,-0.155,0.896,10.7,10.76,10.67,0.293,0.304,19.36,2.13,2.95,2,Loamy sand,3,16,399.8,649.3
Sullivan,35.445,-111.772,Temperate,Forest,Natural,NA,NA,1.52,2007,0.03,-0.096,-0.303,0.832,8.52,9.47,9.35,0.254,0.265,16.76,2.46,2.84,2,Loamy sand,3,16,265,427.6
Sullivan,35.089,-111.762,Temperate,Forest,Natural,NA,NA,1.44,2007,-0.115,-0.584,-0.767,0.678,10.99,10.97,10.88,0.285,0.297,18.71,2.17,2.37,3,Sandy loam,3,16,451.2,746.9
Sullivan,35.143,-111.727,Temperate,Forest,Managed,NA,NA,1.76,2007,0.257,0.139,-0.155,0.896,10.7,10.76,10.67,0.293,0.304,19.36,2.13,2.95,2,Loamy sand,3,16,399.8,649.3
Sullivan,35.445,-111.772,Temperate,Forest,Natural,NA,NA,1.28,2007,0.03,-0.096,-0.303,0.832,8.52,9.47,9.35,0.254,0.265,16.76,2.46,2.84,2,Loamy sand,3,16,265,427.6
Sullivan,35.089,-111.762,Temperate,Forest,Natural,NA,NA,2.48,2007,-0.115,-0.584,-0.767,0.678,10.99,10.97,10.88,0.285,0.297,18.71,2.17,2.37,3,Sandy loam,3,16,451.2,746.9
Sullivan,35.143,-111.727,Temperate,Forest,Managed,NA,NA,3.42,2007,0.257,0.139,-0.155,0.896,10.7,10.76,10.67,0.293,0.304,19.36,2.13,2.95,2,Loamy sand,3,16,399.8,649.3
Sullivan,35.445,-111.772,Temperate,Forest,Natural,NA,NA,2.41,2007,0.03,-0.096,-0.303,0.832,8.52,9.47,9.35,0.254,0.265,16.76,2.46,2.84,2,Loamy sand,3,16,265,427.6
Cleveland,8.717,-83.617,Tropical,Forest,Natural,1142,NA,NA,2008,0.914,0.868,0.355,0.229,24.55,24.85,24.84,0.404,0.402,177,5.61,2.99,3,Sandy loam,6,1,886.9,2146.1
Yan,42.45,116.683,Boreal,Grassland,Natural,NA,NA,2.91,2006,-0.217,-0.114,-0.056,0.418,2.7,3.94,3.65,0.265,0.266,16.87,0,1.42,2,Loamy sand,0,2,301.7,462.4
Yan,42.45,116.683,Boreal,Grassland,Natural,NA,NA,1.61,2007,-0.746,-0.568,-0.217,-0.114,3.67,5.36,5.04,0.242,0.235,12.81,0,1.42,2,Loamy sand,0,2,264.8,412
Jassal,49.869,-125.335,Temperate,Forest,Natural,869,NA,NA,2007,0.647,0.734,0.385,0.285,7.74,7.75,7.75,0.301,0.301,81.18,4.27,0,2,Loamy sand,3,0,711.9,1198.5
Jassal,49.869,-125.335,Temperate,Forest,Natural,836,NA,NA,2008,-0.13,0.431,0.647,0.734,7.69,7.68,7.64,0.284,0.284,57.74,4.27,0,2,Loamy sand,3,0,694.4,1217.6
Wickland,63.883,-145.733,Boreal,Forest,Natural,287,NA,2.25,2003,0.368,0.962,0.818,1.444,-1.46,2.66,2.49,0.354,0.346,16.98,2.31,0.52,2,Loamy sand,19,0,221.8,336.2
Wickland,63.883,-145.733,Boreal,Forest,Natural,241,NA,2.17,2003,0.368,0.962,0.818,1.444,-1.46,2.66,2.49,0.354,0.346,16.98,2.31,0.52,2,Loamy sand,19,0,221.8,336.2
Wickland,64.7,-148.317,Boreal,Forest,Natural,377,NA,2.52,2003,0.401,0.523,0.424,0.642,-0.95,2.8,2.41,0.339,0.319,14.44,3.05,0,2,Loamy sand,5,0,421.9,596.2
Hagemann,53.333,-60.4,Boreal,Forest,Natural,NA,NA,1.64,2008,-0.641,-1.229,-1.16,-1.006,0.17,4.75,4.66,0.24,0.24,34.07,3.82,1.49,1,Sand,3,17,514.3,767.5
Hagemann,53.333,-60.4,Boreal,Forest,Managed,NA,NA,1.02,2008,-0.641,-1.229,-1.16,-1.006,0.17,4.75,4.66,0.24,0.24,34.07,3.82,1.49,1,Sand,3,17,514.3,767.5
Hagemann,53.333,-60.4,Boreal,Forest,Natural,NA,NA,0.36,2008,-0.641,-1.229,-1.16,-1.006,0.17,4.75,4.66,0.24,0.24,34.07,3.82,1.49,1,Sand,3,17,514.3,767.5
Strebel,78.167,16.1,Arctic,Shrubland,Natural,204,NA,NA,2007,-0.395,0.663,1.213,1.403,-7.79,-5.5,-5.56,0.212,0.191,18.05,0,0.91,1,Sand,0,9,35.9,57
Strebel,78.167,16.1,Arctic,Shrubland,Natural,292,NA,NA,2007,-0.395,0.663,1.213,1.403,-7.79,-5.5,-5.56,0.212,0.191,18.05,0,0.91,1,Sand,0,9,35.9,57
Morgner,78.167,16.1,Arctic,Shrubland,Natural,125,NA,0.97,2007,-0.395,0.663,1.213,1.403,-7.79,-5.5,-5.56,0.212,0.191,18.05,0,0.91,1,Sand,0,9,35.9,57
Morgner,78.167,16.1,Arctic,Shrubland,Natural,162,NA,1.76,2007,-0.395,0.663,1.213,1.403,-7.79,-5.5,-5.56,0.212,0.191,18.05,0,0.91,1,Sand,0,9,35.9,57
Bond-Lamberty,55.883,-98.333,Boreal,Forest,Managed,293,196,1.3,2007,0.592,1.545,1.604,2.107,-2.26,4.51,4.36,0.642,0.642,20.66,3.03,0,6,Sandy clay loam,3,0,443.2,770.3
Bjšrkman,68.333,18.5,Arctic,Tundra,Natural,212,NA,NA,2007,0.117,0.083,0.034,0.508,-2.93,0.29,0.27,0.358,0.356,39.19,4.66,1.1,2,Loamy sand,5,9,113.1,183.7
Bjšrkman,68.333,18.5,Arctic,Tundra,Natural,291,NA,NA,2007,0.117,0.083,0.034,0.508,-2.93,0.29,0.27,0.358,0.356,39.19,4.66,1.1,2,Loamy sand,5,9,113.1,183.7
Bjšrkman,78.167,16.1,Arctic,Tundra,Natural,494,NA,NA,2007,-0.395,0.663,1.213,1.403,-7.79,-5.5,-5.56,0.212,0.191,18.05,0,0.91,1,Sand,0,9,35.9,57
Bjšrkman,78.167,16.1,Arctic,Tundra,Natural,646,NA,NA,2007,-0.395,0.663,1.213,1.403,-7.79,-5.5,-5.56,0.212,0.191,18.05,0,0.91,1,Sand,0,9,35.9,57
Hermle,49.693,-74.432,Boreal,Forest,Natural,710,540,NA,2005,-0.463,0.369,0.891,0.332,1.82,6.39,6.37,0.243,0.244,33.98,3.12,0.69,1,Sand,3,17,598.2,916.7
Ernfors,57.25,13.583,Boreal,Forest,Unmanaged,182,NA,NA,2004,0.032,-0.856,-1.194,-0.543,6.72,7.1,7.04,0.247,0.246,33.2,4.11,2.73,1,Sand,3,1,651.2,1061.2
Ernfors,57.25,13.583,Boreal,Forest,Unmanaged,254,NA,NA,2005,0.393,0.355,0.032,-0.856,6.93,7.45,7.4,0.239,0.239,26.58,4.11,2.73,1,Sand,3,1,626.1,1087.7
Ernfors,57.25,13.583,Boreal,Forest,Unmanaged,339,NA,NA,2007,1.272,0.786,-0.336,0.123,7.58,7.82,7.82,0.246,0.247,33.75,4.11,2.73,1,Sand,3,1,668.3,1135.3
Ernfors,57.183,13.733,Boreal,Forest,Unmanaged,305,NA,NA,2004,0.148,-0.658,-1.063,-0.385,6.9,7.27,7.22,0.247,0.247,32.24,3.92,2.79,1,Sand,3,1,693.4,1034.2
Ernfors,57.183,13.733,Boreal,Forest,Unmanaged,404,NA,NA,2005,0.405,0.442,0.148,-0.658,7.11,7.61,7.57,0.238,0.239,25.82,3.92,2.79,1,Sand,3,1,636.7,951.4
Jia,45.383,127.5,Temperate,Forest,Managed,NA,NA,2.28,2005,-0.056,-0.335,-0.379,0.025,2.9,6,6.01,0.364,0.361,26.23,4.29,2.58,3,Sandy loam,18,1,467.1,880.3
Jia,45.383,127.5,Temperate,Forest,Managed,NA,NA,2.25,2006,-0.283,-0.261,-0.056,-0.335,3.3,4.76,4.45,0.353,0.352,24.91,4.29,2.58,3,Sandy loam,18,1,458,927.3
Jia,45.383,127.5,Temperate,Forest,Managed,NA,NA,2.16,2007,-1.132,-0.902,-0.283,-0.261,4.79,5.45,5.21,0.338,0.33,18.19,4.29,2.58,3,Sandy loam,18,1,344.3,834.3
Jia,45.383,127.5,Temperate,Forest,Managed,NA,NA,2.98,2005,-0.056,-0.335,-0.379,0.025,2.9,6,6.01,0.364,0.361,26.23,4.29,2.58,3,Sandy loam,18,1,467.1,880.3
Jia,45.383,127.5,Temperate,Forest,Managed,NA,NA,2.56,2006,-0.283,-0.261,-0.056,-0.335,3.3,4.76,4.45,0.353,0.352,24.91,4.29,2.58,3,Sandy loam,18,1,458,927.3
Jia,45.383,127.5,Temperate,Forest,Managed,NA,NA,2.49,2007,-1.132,-0.902,-0.283,-0.261,4.79,5.45,5.21,0.338,0.33,18.19,4.29,2.58,3,Sandy loam,18,1,344.3,834.3
Guo,26.417,117.833,Subtropical,Forest,Managed,510,NA,NA,2002,-0.216,0.329,0.843,0.726,19.7,19.54,19.54,0.439,0.446,54.74,4.8,2.95,4,Silt loam,3,10,540.2,1565.4
Guo,26.417,117.833,Subtropical,Forest,Unmanaged,1495,NA,NA,2002,-0.216,0.329,0.843,0.726,19.7,19.54,19.54,0.439,0.446,54.74,4.8,2.95,4,Silt loam,3,10,540.2,1565.4
Guo,26.417,117.833,Subtropical,Forest,Managed,386,NA,NA,2003,-0.645,-0.602,-0.216,0.329,20.2,20.07,20,0.395,0.402,36.04,4.8,2.95,4,Silt loam,3,10,626,1722.9
Guo,26.417,117.833,Subtropical,Forest,Unmanaged,1269,NA,NA,2003,-0.645,-0.602,-0.216,0.329,20.2,20.07,20,0.395,0.402,36.04,4.8,2.95,4,Silt loam,3,10,626,1722.9
Sanderman,37.85,-122.5,Temperate,Grassland,Natural,1031,NA,NA,2004,-0.157,-0.109,0.118,-0.191,13.57,14.7,14.66,0.246,0.271,19.05,3.24,2.45,2,Loamy sand,3,10,1342.8,1870.6
Sanderman,39.4,-123.77,Temperate,Forest,Natural,571,NA,NA,2004,0.218,0.548,0.664,0.419,13.47,14.15,14.09,0.24,0.265,29.77,5.19,2.75,2,Loamy sand,3,16,1424.9,2418.5
Dhital,36.133,137.417,Temperate,Grassland,Managed,1121,NA,NA,2007,-0.602,-0.852,-0.367,-0.561,8.11,8.63,8.6,0.39,0.393,50.1,3.89,0.23,2,Loamy sand,19,0,769.8,1382.6
Dhital,36.133,137.417,Temperate,Grassland,Managed,1214,NA,NA,2008,-1.525,-1.621,-0.602,-0.852,7.78,8.76,8.75,0.385,0.387,51.4,3.89,0.23,2,Loamy sand,19,0,748,1242.1
Lee,38.233,127.267,Temperate,Forest,Managed,781,515.46,NA,2005,0.219,0.632,1.004,0.996,9.14,9.79,9.74,0.369,0.37,45.15,2.62,3.07,3,Sandy loam,19,1,608.7,970
Lee,38.233,127.267,Temperate,Forest,Managed,740,510.6,NA,2005,0.219,0.632,1.004,0.996,9.14,9.79,9.74,0.369,0.37,45.15,2.62,3.07,3,Sandy loam,19,1,608.7,970
Yashiro,36.133,137.367,Temperate,Forest,Managed,690,360,NA,2006,-0.312,-0.292,0.086,0.448,7.88,8.97,8.98,0.392,0.394,67.66,3.89,0.23,2,Loamy sand,19,0,770.4,1354.5
Yashiro,36.133,137.367,Temperate,Forest,Managed,680,360,NA,2007,-0.659,-0.873,-0.312,-0.292,8.11,8.63,8.6,0.39,0.393,50.1,3.89,0.23,2,Loamy sand,19,0,816.1,1418.4
Ohtsuka,36.12,137.383,Temperate,Forest,Unmanaged,655,471.6,NA,2005,-0.144,0.512,0.826,0.814,7.5,8.7,8.66,0.38,0.381,49.12,3.89,0.23,2,Loamy sand,19,0,760.1,1343.7
Ohtsuka,36.12,137.383,Temperate,Forest,Unmanaged,709,510.48,NA,2006,-0.512,-0.641,-0.144,0.512,7.88,8.97,8.98,0.392,0.394,67.66,3.89,0.23,2,Loamy sand,19,0,711.4,1235.3
Qi,43.513,116.827,Boreal,Grassland,Natural,299.24,NA,1.449,2005,0.198,0.544,0.679,0.891,1.64,3.66,3.37,0.244,0.238,10.72,0,1.4,2,Loamy sand,0,2,293.8,454.3
Qi,43.539,116.554,Boreal,Grassland,Natural,226.99,NA,1.24425,2005,0.231,0.581,0.714,0.958,2.16,4.2,3.9,0.243,0.241,10.82,0,1.29,2,Loamy sand,0,2,190.3,284.2
Qi,44.087,115.904,Boreal,Grassland,Natural,131.55,NA,0.60858,2005,-0.072,0.272,0.483,0.917,3.78,5.54,5.21,0.192,0.187,6.91,0,1.04,2,Loamy sand,0,2,149.6,231.8
Qi,43.513,116.827,Boreal,Grassland,Natural,240.44,NA,1.25307,2006,-0.612,-0.156,0.198,0.544,2.48,4.2,3.87,0.235,0.225,14.62,0,1.4,2,Loamy sand,0,2,293.3,477.4
Qi,43.539,116.554,Boreal,Grassland,Natural,150.62,NA,0.9702,2006,-0.564,-0.121,0.231,0.581,2.99,4.73,4.42,0.234,0.228,15.01,0,1.29,2,Loamy sand,0,2,200,304.6
Qi,44.087,115.904,Boreal,Grassland,Natural,111.31,NA,0.75159,2006,-0.818,-0.546,-0.072,0.272,4.22,5.73,5.39,0.2,0.191,9.88,0,1.04,2,Loamy sand,0,2,163.4,254.4
Qi,43.513,116.827,Boreal,Grassland,Natural,223.62,NA,1.03131,2007,-0.99,-0.984,-0.612,-0.156,3.84,5.66,5.3,0.223,0.209,8.69,0,1.4,2,Loamy sand,0,2,276.3,455.1
Qi,43.539,116.554,Boreal,Grassland,Natural,176.84,NA,0.90657,2007,-0.886,-0.871,-0.564,-0.121,4.37,6.14,5.81,0.222,0.212,9.12,0,1.29,2,Loamy sand,0,2,228.3,362
Qi,44.087,115.904,Boreal,Grassland,Natural,125.69,NA,0.54432,2007,-0.807,-1.033,-0.818,-0.546,5.66,7.12,6.8,0.201,0.188,7.75,0,1.04,2,Loamy sand,0,2,143.3,230.4
Bremer,39.082,-96.56,Temperate,Grassland,Natural,1354,NA,NA,1997,0.556,0.662,0.53,0.884,12.21,13.08,12.94,0.296,0.292,28.47,2.42,2.45,2,Loamy sand,19,1,NA,NA
Bremer,39.082,-96.56,Temperate,Grassland,Natural,1185,NA,NA,1997,0.556,0.662,0.53,0.884,12.21,13.08,12.94,0.296,0.292,28.47,2.42,2.45,2,Loamy sand,19,1,NA,NA
Bremer,39.082,-96.56,Temperate,Grassland,Natural,1666,NA,NA,1998,0.667,0.795,0.556,0.662,13.54,14.32,14.25,0.32,0.323,39.44,2.42,2.45,2,Loamy sand,19,1,NA,NA
Bremer,39.082,-96.56,Temperate,Grassland,Natural,1495,NA,NA,1998,0.667,0.795,0.556,0.662,13.54,14.32,14.25,0.32,0.323,39.44,2.42,2.45,2,Loamy sand,19,1,NA,NA
De Dato,40.62,8.17,Temperate,Shrubland,Unmanaged,1305.6,NA,NA,2002,-0.883,-0.206,0.463,-0.414,NA,NA,NA,NA,NA,NA,NA,NA,2,Loamy sand,19,1,1336.4,2086.4
De Dato,40.62,8.17,Temperate,Shrubland,Unmanaged,832.5,NA,NA,2003,-0.275,-0.846,-0.883,-0.206,NA,NA,NA,NA,NA,NA,NA,NA,2,Loamy sand,19,1,1206.5,1998
De Dato,40.62,8.17,Temperate,Shrubland,Unmanaged,1002.8,NA,NA,2004,0.049,-0.088,-0.275,-0.846,NA,NA,NA,NA,NA,NA,NA,NA,2,Loamy sand,19,1,1225.9,1972.6
Wang,42.403,128.096,Temperate,Forest,Natural,593,NA,NA,2003,-0.357,-0.691,-0.415,-0.102,3.69,6.94,6.91,0.346,0.344,28.71,4.36,2.92,2,Loamy sand,18,1,605.5,1035.7
Lee,37.75,127.167,Temperate,Forest,Unmanaged,909,NA,NA,2005,0.211,0.473,0.75,0.986,10.02,10.59,10.53,0.444,0.446,47.91,2.79,3.14,4,Silt loam,19,10,617.6,1154.3
Lee,37.75,127.167,Temperate,Forest,Natural,807,NA,NA,2005,0.211,0.473,0.75,0.986,10.02,10.59,10.53,0.444,0.446,47.91,2.79,3.14,4,Silt loam,19,10,617.6,1154.3
Lee,37.75,127.167,Temperate,Forest,Unmanaged,837,NA,NA,2006,0.635,0.419,0.211,0.473,10.9,11.03,10.87,0.435,0.437,48.57,2.79,3.14,4,Silt loam,19,10,651.2,1330.8
Lee,37.75,127.167,Temperate,Forest,Natural,728,NA,NA,2006,0.635,0.419,0.211,0.473,10.9,11.03,10.87,0.435,0.437,48.57,2.79,3.14,4,Silt loam,19,10,651.2,1330.8
Perez-Quezada,51.617,71.083,Boreal,Agriculture,Managed,366,NA,2.316591667,2002,1.341,1.308,0.414,0.627,4.26,6.68,6.41,0.41,0.394,16.29,2.04,2.08,4,Silt loam,19,1,302.5,494
Perez-Quezada,51.617,71.083,Boreal,Grassland,Unmanaged,428,NA,2.02047973,2002,1.341,1.308,0.414,0.627,4.26,6.68,6.41,0.41,0.394,16.29,2.04,2.08,4,Silt loam,19,1,302.5,494
Perez-Quezada,51.617,71.083,Boreal,Agriculture,Managed,487,NA,2.266809524,2002,1.341,1.308,0.414,0.627,4.26,6.68,6.41,0.41,0.394,16.29,2.04,2.08,4,Silt loam,19,1,302.5,494
Perez-Quezada,51.617,71.083,Boreal,Grassland,Natural,551,NA,2.473452381,2002,1.341,1.308,0.414,0.627,4.26,6.68,6.41,0.41,0.394,16.29,2.04,2.08,4,Silt loam,19,1,302.5,494
Arevalo,54.2,-114.133,Temperate,Agriculture,Managed,NA,NA,4.26,2006,-0.26,0.105,0.423,0.429,3.96,6.32,6.04,0.351,0.323,18.39,2.6,3.09,2,Loamy sand,19,1,493.1,850.2
Arevalo,54.2,-114.133,Temperate,Agriculture,Managed,NA,NA,3.61,2006,-0.26,0.105,0.423,0.429,3.96,6.32,6.04,0.351,0.323,18.39,2.6,3.09,2,Loamy sand,19,1,493.1,850.2
Arevalo,54.2,-114.133,Temperate,Forest,Managed,NA,NA,4.81,2006,-0.26,0.105,0.423,0.429,3.96,6.32,6.04,0.351,0.323,18.39,2.6,3.09,2,Loamy sand,19,1,493.1,850.2
Arevalo,54.2,-114.133,Temperate,Agriculture,Managed,NA,NA,4.57,2006,-0.26,0.105,0.423,0.429,3.96,6.32,6.04,0.351,0.323,18.39,2.6,3.09,2,Loamy sand,19,1,493.1,850.2
Arevalo,54.2,-114.133,Temperate,Forest,Natural,NA,NA,6.7,2006,-0.26,0.105,0.423,0.429,3.96,6.32,6.04,0.351,0.323,18.39,2.6,3.09,2,Loamy sand,19,1,493.1,850.2
Arevalo,54.2,-114.133,Temperate,Agriculture,Managed,NA,NA,3.81,2007,0.601,0.21,-0.26,0.105,3.05,6.29,6.32,0.342,0.327,17.18,2.6,3.09,2,Loamy sand,19,1,478.3,800.6
Arevalo,54.2,-114.133,Temperate,Agriculture,Managed,NA,NA,3.28,2007,0.601,0.21,-0.26,0.105,3.05,6.29,6.32,0.342,0.327,17.18,2.6,3.09,2,Loamy sand,19,1,478.3,800.6
Arevalo,54.2,-114.133,Temperate,Forest,Managed,NA,NA,4.05,2007,0.601,0.21,-0.26,0.105,3.05,6.29,6.32,0.342,0.327,17.18,2.6,3.09,2,Loamy sand,19,1,478.3,800.6
