Author,Latitude,Longitude,Biome,Ecosystem_type,Ecosystem_state,Rs_annual,Rh_annual,Rs_growingseason,Year,SPEI12,SPEI24,SPEI12_y1,SPEI24_y1,Tair,Tsoil_lev1,Tsoil_lev2,VWC_lev1,VWC_lev2,Precip,LAI_high,LAI_low,Soil_type_number,Soil_type_name,Veg_type_hi,Veg_type_low,MODIS_NPP,MODIS_GPP
Widen,60.08,17.5,Boreal,Forest,Natural,149,100,NA,1999,0.796,1.086,0.677,-0.086,6.79,7.29,7.15,0.336,0.331,21.46,4.09,1.55,4,Silt loam,3,1,NA,NA
Irvine,44.43,-121.57,Temperate,Forest,Unmanaged,519,248,NA,1999,1.368,1.491,0.726,1.519,7.51,8.18,8.02,0.214,0.219,31.08,3.84,2.65,1,Sand,3,16,NA,NA
Irvine,44.5,-121.62,Temperate,Forest,Natural,499,276,NA,1999,1.368,1.491,0.726,1.519,7.26,7.83,7.68,0.189,0.186,31.1,3.65,2.39,1,Sand,3,10,NA,NA
Irvine,44.43,-121.57,Temperate,Forest,Unmanaged,427,248,NA,2000,0.098,1.129,1.368,1.491,7.2,8.2,8.06,0.207,0.206,25.25,3.84,2.65,1,Sand,3,16,NA,995.2
Irvine,44.5,-121.62,Temperate,Forest,Natural,597,322,NA,2000,0.098,1.129,1.368,1.491,6.95,7.8,7.65,0.182,0.174,24.97,3.65,2.39,1,Sand,3,10,NA,1199.3
Irvine,44.43,-121.57,Temperate,Forest,Unmanaged,505,248,NA,2001,-1.466,-0.947,0.098,1.129,7.66,8.83,8.65,0.211,0.213,26.34,3.84,2.65,1,Sand,3,16,647.8,1002.8
Irvine,44.5,-121.62,Temperate,Forest,Natural,483,276,NA,2001,-1.466,-0.947,0.098,1.129,7.36,8.48,8.31,0.185,0.179,26.29,3.65,2.39,1,Sand,3,10,760.7,1185
Law,44.42,-121.51,Temperate,Forest,Natural,683,406,NA,1996,1.616,1.639,0.731,0.057,8.08,9.77,9.53,0.176,0.184,37,4.51,2.43,1,Sand,3,16,NA,NA
Malhi,53.99,-105.12,Boreal,Forest,Natural,592,449,NA,1999,-0.346,-0.481,-0.537,0.15,2.09,5.12,4.98,0.232,0.229,18.21,3.34,1.86,1,Sand,3,1,NA,NA
Malhi,35.99,-84.29,Temperate,Forest,Natural,753,359,NA,1999,-0.731,-0.391,0.162,0.716,15.21,15.09,15.08,0.357,0.36,37.89,4.81,2.74,4,Silt loam,5,1,NA,NA
Malhi,-2.58,-50.1,Tropical,Forest,Natural,1650,970,NA,1999,1.081,-0.314,-1.795,-1.699,25.65,26.52,26.55,0.453,0.451,102.39,5.33,2.1,4,Silt loam,19,7,NA,NA
Megonigal,37.57,-76.83,Temperate,Wetland,Natural,1135,NA,NA,2002,-1.33,-1.591,-0.753,-0.325,15.31,15.71,15.71,0.427,0.431,38.95,5.24,3.03,4,Silt loam,18,1,349,1197.1
Gaudinski,42.9,-72.3,Temperate,Forest,Natural,840,570,NA,1996,0.652,-0.037,-0.808,-0.493,7.18,8.28,8.18,0.231,0.228,39.93,5.35,0,1,Sand,5,0,NA,NA
Högberg,64.23,19.77,Boreal,Forest,Natural,275,127,NA,2000,0.345,0.757,0.435,1.058,3.6,4.93,4.9,0.254,0.254,32.22,3.34,0,1,Sand,3,0,NA,680.8
Hungate,37.4,-122.23,Temperate,Grassland,Natural,323,144,NA,1994,-0.382,0.098,0.635,0.283,12.91,13.22,13.21,0.24,0.254,15.84,3.87,2.53,1,Sand,3,16,NA,NA
Kutsch,54.1,10.23,Temperate,Forest,Natural,1754,520,NA,1992,-0.819,-0.419,0.245,0.39,9.61,9.82,9.78,0.296,0.291,22.35,2.73,3.08,1,Sand,19,1,NA,NA
Lamade,6.38,2.13,Tropical,Forest,Managed,1610,499,NA,1993,-0.81,-1.466,-0.727,0.479,26.66,27.24,27.23,0.344,0.337,38.41,3.16,2.41,1,Sand,6,0,NA,NA
Maier,34.63,-79.2,Temperate,Forest,Managed,1263,600,NA,1995,0.711,-0.223,0.098,0.177,16.63,17.45,17.48,0.428,0.43,43.36,2.37,2.44,4,Silt loam,19,1,NA,NA
Moore,54.8,-66.82,Boreal,Wetland,Natural,79,NA,NA,1987,-0.202,-1.598,-1.321,-2.609,-4.1,2.56,2.51,0.343,0.345,31.01,2.49,1.38,1,Sand,19,17,NA,NA
Moore,54.8,-66.82,Boreal,Wetland,Natural,80,NA,NA,1987,-0.202,-1.598,-1.321,-2.609,-4.1,2.56,2.51,0.343,0.345,31.01,2.49,1.38,1,Sand,19,17,NA,NA
Moore,54.8,-66.82,Boreal,Wetland,Natural,7,NA,NA,1987,-0.202,-1.598,-1.321,-2.609,-4.1,2.56,2.51,0.343,0.345,31.01,2.49,1.38,1,Sand,19,17,NA,NA
Ryan,-35.35,148.93,Temperate,Forest,Managed,987,713,NA,1993,1.697,1.523,1.097,0.767,11.73,11.86,11.85,0.353,0.357,32.04,3.1,0.03,2,Loamy sand,2,2,NA,NA
Ryan,53.883,-104.883,Boreal,Forest,Natural,338,187,NA,1994,-0.032,-0.4,-0.754,-1.374,0.71,5.46,5.36,0.218,0.215,16.38,3.16,0,1,Sand,3,0,NA,NA
Ryan,55.567,-106.233,Boreal,Forest,Natural,905,591,NA,1994,0.289,-0.297,-0.793,-0.995,0.38,5.5,5.43,0.224,0.222,17.59,2.98,0.38,1,Sand,3,0,NA,NA
Ryan,53.883,-104.883,Boreal,Forest,Natural,564,372,NA,1994,-0.032,-0.4,-0.754,-1.374,0.71,5.46,5.36,0.218,0.215,16.38,3.16,0,1,Sand,3,0,NA,NA
Gough,45.59,-84.72,Temperate,Forest,Natural,675,290,NA,2004,0.225,-0.496,-1.038,-0.051,6.31,8.26,8.16,0.236,0.233,30.85,3.86,1.68,1,Sand,19,1,NA,NA
